LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
CAL-132495,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Patrick O'Sullivan,NULL,Devlin's,DEV Corp.,Patrick O'Sullivan,113,0,0,1:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,113,332,,  Washington ST,Brighton,MA,2135,"(42.348878000, -71.152342000)"
CAL-132495,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Patrick O'Sullivan,NULL,Devlin's,DEV Corp.,Patrick O'Sullivan,113,0,0,1:00 AM,1,Allston/Brighton,D-14,Radio,Radio,113,332,,  Washington ST,Brighton,MA,2135,"(42.348878000, -71.152342000)"
CAL-132495,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Patrick O'Sullivan,NULL,Devlin's,DEV Corp.,Patrick O'Sullivan,113,0,0,1:00 AM,1,Allston/Brighton,D-14,DJ,Disc Jockey,113,332,,  Washington ST,Brighton,MA,2135,"(42.348878000, -71.152342000)"
CAL-132495,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Patrick O'Sullivan,NULL,Devlin's,DEV Corp.,Patrick O'Sullivan,113,0,0,1:00 AM,4,Allston/Brighton,D-14,InstVocal,Instrumental/Vocal,113,332,,  Washington ST,Brighton,MA,2135,"(42.348878000, -71.152342000)"
CAL-132495,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Patrick O'Sullivan,NULL,Devlin's,DEV Corp.,Patrick O'Sullivan,113,1700,113,1:00 AM,5,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,113,332,,  Washington ST,Brighton,MA,2135,"(42.348878000, -71.152342000)"
CAL-132496,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DAVID RICCIO,RICCIO,Stanza Dei Sigari,"Stanza Dei Sigari, Inc.",DAVID RICCIO,158,280,158,1:00 AM,2,Downtown/Charlestown/North End,A-1,AutoAmuse,Auto Amusement Device/Game,158,290,296,  Hanover ST,Boston,MA,2113,"(42.364098000, -71.054401000)"
CAL-132496,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DAVID RICCIO,RICCIO,Stanza Dei Sigari,"Stanza Dei Sigari, Inc.",DAVID RICCIO,158,0,0,1:00 AM,9,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,158,290,296,  Hanover ST,Boston,MA,2113,"(42.364098000, -71.054401000)"
CAL-132496,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DAVID RICCIO,RICCIO,Stanza Dei Sigari,"Stanza Dei Sigari, Inc.",DAVID RICCIO,158,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,158,290,296,  Hanover ST,Boston,MA,2113,"(42.364098000, -71.054401000)"
CAL-132496,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DAVID RICCIO,RICCIO,Stanza Dei Sigari,"Stanza Dei Sigari, Inc.",DAVID RICCIO,158,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,158,290,296,  Hanover ST,Boston,MA,2113,"(42.364098000, -71.054401000)"
CAL-132496,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DAVID RICCIO,RICCIO,Stanza Dei Sigari,"Stanza Dei Sigari, Inc.",DAVID RICCIO,158,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",158,290,296,  Hanover ST,Boston,MA,2113,"(42.364098000, -71.054401000)"
CAL-132497,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Charles Buben,NULL,Bacco Restaurant,"107 Salem Restaurant, Inc.",Charles Buben,117,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,117,107,,  Salem ST,Boston,MA,2113,"(42.364180000, -71.055380000)"
CAL-132497,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Charles Buben,NULL,Bacco Restaurant,"107 Salem Restaurant, Inc.",Charles Buben,117,0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,117,107,,  Salem ST,Boston,MA,2113,"(42.364180000, -71.055380000)"
CAL-132497,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Charles Buben,NULL,Bacco Restaurant,"107 Salem Restaurant, Inc.",Charles Buben,117,0,0,1:00 AM,2,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",117,107,,  Salem ST,Boston,MA,2113,"(42.364180000, -71.055380000)"
CAL-132497,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Charles Buben,NULL,Bacco Restaurant,"107 Salem Restaurant, Inc.",Charles Buben,117,360,117,1:00 AM,2,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,117,107,,  Salem ST,Boston,MA,2113,"(42.364180000, -71.055380000)"
CAL-132498,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Luis Luna,NULL,The Granary,"170, LLC",Luis Luna,206,0,206,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,206,170,, Milk St,Boston,MA,2109,NULL
CAL-132498,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Luis Luna,NULL,The Granary,"170, LLC",Luis Luna,206,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,206,170,, Milk St,Boston,MA,2109,NULL
CAL-132498,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Luis Luna,NULL,The Granary,"170, LLC",Luis Luna,206,1080,0,2:00 AM,6,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,206,170,, Milk St,Boston,MA,2109,NULL
CAL-132499,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,David Wong,NULL,Shabu-Zen,Zen International Inc.,David Wong,93,0,93,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,93,16,,  Tyler ST,Boston,MA,2111,"(42.350800000, -71.060520000)"
CAL-132499,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,David Wong,NULL,Shabu-Zen,Zen International Inc.,David Wong,93,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,93,16,,  Tyler ST,Boston,MA,2111,"(42.350800000, -71.060520000)"
CAL-132499,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,David Wong,NULL,Shabu-Zen,Zen International Inc.,David Wong,93,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,93,16,,  Tyler ST,Boston,MA,2111,"(42.350800000, -71.060520000)"
CAL-132499,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,David Wong,NULL,Shabu-Zen,Zen International Inc.,David Wong,93,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,93,16,,  Tyler ST,Boston,MA,2111,"(42.350800000, -71.060520000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,5,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,1180,335,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,6,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132500,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Colleen Hagerty,NULL,Abby Lane,Jackson Gateman,Colleen Hagerty,335,500,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,MoviePic,Movie Picture Screen,335,253,261,  Tremont ST,Boston,MA,2116,"(42.350440000, -71.065350000)"
CAL-132501,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kenny Tran,NULL,Delicious Yogurt,Delicious Yogurt LLC,Kenny Tran,29,0,0,10:00pm,1,West Roxbury/Roslindale,E-5,AudioDev,Audio Device,29,4198,4206,  Washington ST,Roslindale,MA,2131,"(42.286830000, -71.127360000)"
CAL-132501,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kenny Tran,NULL,Delicious Yogurt,Delicious Yogurt LLC,Kenny Tran,29,180,29,10:00pm,1,West Roxbury/Roslindale,E-5,WidescrnTV,Widescreen Television,29,4198,4206,  Washington ST,Roslindale,MA,2131,"(42.286830000, -71.127360000)"
CAL-132501,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kenny Tran,NULL,Delicious Yogurt,Delicious Yogurt LLC,Kenny Tran,29,0,0,10:00pm,1,West Roxbury/Roslindale,E-5,Radio,Radio,29,4198,4206,  Washington ST,Roslindale,MA,2131,"(42.286830000, -71.127360000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,WidescrnTV,Widescreen Television,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,AutoAmuse,Auto Amusement Device/Game,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,DVDVCR,DVD/VCR,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,CassetteCD,Cassette/CD Player,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,Radio,Radio,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,3,Jamaica Plain,E-13,TV,"Television (under 27"")",260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,1000,260,1:00 AM,1,Jamaica Plain,E-13,DJ,Disc Jockey,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,1,Jamaica Plain,E-13,DancingPat,Dancing by Patrons,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132502,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Katherine Mainzer,NULL,Bella Luna and the Milky Way Lounge,"Bella Luna Restaurant, Inc.",Katherine Mainzer,260,0,0,1:00 AM,7,Jamaica Plain,E-13,InstVocal,Instrumental/Vocal,260,284,, Amory St,Jamaica Plain,MA,2130,"(42.314637000, -71.104489000)"
CAL-132503,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Susan Gould,NULL,Finagle a Bagel,"Julian's Cheesecakes, Inc.",Susan Gould,80,0,80,9:00 PM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,80,535,541, Boylston St,Boston,MA,2116,"(42.350870000, -71.075580000)"
CAL-132503,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Susan Gould,NULL,Finagle a Bagel,"Julian's Cheesecakes, Inc.",Susan Gould,80,0,0,9:00 PM,1,Back Bay/South End,D-4,Radio,Radio,80,535,541, Boylston St,Boston,MA,2116,"(42.350870000, -71.075580000)"
CAL-132504,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jeffery Gates,NULL,Gaslight Basserie,South End Berkeley LLC,Jeffery Gates,201,0,0,2:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,201,560,,  Harrison AV,Roxbury,MA,2118,"(42.340810000, -71.067440000)"
CAL-132504,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jeffery Gates,NULL,Gaslight Basserie,South End Berkeley LLC,Jeffery Gates,201,180,0,2:00 AM,1,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,201,560,,  Harrison AV,Roxbury,MA,2118,"(42.340810000, -71.067440000)"
CAL-132504,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jeffery Gates,NULL,Gaslight Basserie,South End Berkeley LLC,Jeffery Gates,201,0,0,2:00 AM,1,Back Bay/South End,D-4,Radio,Radio,201,560,,  Harrison AV,Roxbury,MA,2118,"(42.340810000, -71.067440000)"
CAL-132504,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jeffery Gates,NULL,Gaslight Basserie,South End Berkeley LLC,Jeffery Gates,201,0,201,2:00 AM,2,Back Bay/South End,D-4,TV,"Television (under 27"")",201,560,,  Harrison AV,Roxbury,MA,2118,"(42.340810000, -71.067440000)"
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,1780,1580,2:00 AM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,180,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,40,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,50,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,500,0,2:00 AM,1580,Downtown/Charlestown/North End,A-1,ExhibTrade,Exhibition/Trade Show,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132505,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Rachel Moniz,NULL,Liberty Hotel,"Don't Look Back Lessee, LLC",Rachel Moniz,1580,0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,1580,215A,, Charles St,Boston,MA,2114,NULL
CAL-132506,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jared Bourote,NULL,Five Guys Burgers & Fries,"Beantown Five III, LLC",Jared Bourote,37,0,37,10:00 PM,1,Back Bay/South End,D-4,Radio,Radio,37,251,289,  Huntington AV,Boston,MA,2115,"(42.342036000, -71.086365000)"
CAL-132507,3/18/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Shi Poon,NULL,Tea Do,"Tea Do, LLC",Shi Poon,30,0,30,12:00 AM,4,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,30,8,,  Tyler ST,Boston,MA,2111,"(42.351028000, -71.060430000)"
CAL-132507,3/18/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Shi Poon,NULL,Tea Do,"Tea Do, LLC",Shi Poon,30,0,0,12:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,30,8,,  Tyler ST,Boston,MA,2111,"(42.351028000, -71.060430000)"
CAL-132508,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Julie A Fiore,NULL,Rabia's,"Rabia's, Inc.",Julie A Fiore,32,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,32,73,,  Salem ST,Boston,MA,2113,"(42.363427000, -71.055787000)"
CAL-132508,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Julie A Fiore,NULL,Rabia's,"Rabia's, Inc.",Julie A Fiore,32,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,32,73,,  Salem ST,Boston,MA,2113,"(42.363427000, -71.055787000)"
CAL-132508,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Julie A Fiore,NULL,Rabia's,"Rabia's, Inc.",Julie A Fiore,32,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,32,73,,  Salem ST,Boston,MA,2113,"(42.363427000, -71.055787000)"
CAL-132508,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Julie A Fiore,NULL,Rabia's,"Rabia's, Inc.",Julie A Fiore,32,180,32,11:00 PM,1,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,32,73,,  Salem ST,Boston,MA,2113,"(42.363427000, -71.055787000)"
CAL-132509,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mary Papandrea,NULL,Roslindale House of Pizza,Roslindale House of Pizza,Mary Papandrea,16,0,16,12:00 AM,1,West Roxbury/Roslindale,E-5,TV,"Television (under 27"")",16,4168,,  Washington ST,Roslindale,MA,2131,"(42.287818000, -71.126399000)"
CAL-132510,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mario S Watkins,NULL,"Au Bon Pain,  #146",ABP Corporation,Mario S Watkins,66,0,66,24 Hours,1,Roxbury/Dorchester,B-2,CassetteCD,Cassette/CD Player,66,17,25, Blackfan St,Boston,MA,2115,"(42.337388000, -71.106281000)"
CAL-132510,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mario S Watkins,NULL,"Au Bon Pain,  #146",ABP Corporation,Mario S Watkins,66,0,0,24 Hours,1,Roxbury/Dorchester,B-2,Radio,Radio,66,17,25, Blackfan St,Boston,MA,2115,"(42.337388000, -71.106281000)"
CAL-132511,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mario S Watkins,NULL,Au Bon Pain #145,ABP Corporation,Mario S Watkins,65,0,65,9:00 PM,1,Back Bay/South End,D-4,Radio,Radio,65,359,369, Huntington Av,Boston,MA,2115,"(42.340302000, -71.090331000)"
CAL-132511,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mario S Watkins,NULL,Au Bon Pain #145,ABP Corporation,Mario S Watkins,65,0,0,9:00 PM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,65,359,369, Huntington Av,Boston,MA,2115,"(42.340302000, -71.090331000)"
CAL-132511,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Mario S Watkins,NULL,Au Bon Pain #145,ABP Corporation,Mario S Watkins,65,0,0,9:00 PM,1,Back Bay/South End,D-4,TV,"Television (under 27"")",65,359,369, Huntington Av,Boston,MA,2115,"(42.340302000, -71.090331000)"
CAL-132512,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Lam Q Duong,NULL,Xinh Xinh Restaurant,Xinh Xinh Restaurant,Lam Q Duong,32,0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,32,7,, Beach St,Boston,MA,2111,NULL
CAL-132512,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Lam Q Duong,NULL,Xinh Xinh Restaurant,Xinh Xinh Restaurant,Lam Q Duong,32,0,32,11:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,32,7,, Beach St,Boston,MA,2111,NULL
CAL-132513,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Michael Black,NULL,The Real Deal,"Real Deal Circle, LLC",Michael Black,15,180,15,01:00am,1,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,15,1936,,  Beacon ST,Brighton,MA,2135,"(42.336353000, -71.149931000)"
CAL-132514,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,"John Woods, Jr",NULL,Woody's,"Woods L Street Tavern, Inc.","John Woods, Jr",71,900,71,1:00 AM,5,South Boston,C-6,WidescrnTV,Widescreen Television,71,195,,  L ST,South Boston,MA,2127,"(42.331583000, -71.035050000)"
CAL-132514,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,"John Woods, Jr",NULL,Woody's,"Woods L Street Tavern, Inc.","John Woods, Jr",71,0,0,1:00 AM,1,South Boston,C-6,Jukebox,Jukebox,71,195,,  L ST,South Boston,MA,2127,"(42.331583000, -71.035050000)"
CAL-132514,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,"John Woods, Jr",NULL,Woody's,"Woods L Street Tavern, Inc.","John Woods, Jr",71,280,0,1:00 AM,2,South Boston,C-6,AutoAmuse,Auto Amusement Device/Game,71,195,,  L ST,South Boston,MA,2127,"(42.331583000, -71.035050000)"
